04	13	14	18	20	28	08
06	11	13	16	19	31	02
21	22	24	28	29	32	14
07	10	16	20	21	27	11
08	18	20	22	24	28	10
01	04	25	27	29	30	07
02	07	15	29	31	33	15
03	09	15	17	20	22	06
05	06	09	13	23	25	08
01	04	08	21	23	24	11
07	09	14	31	32	33	13
03	18	23	24	25	32	09
08	12	13	14	19	20	05
04	10	11	23	30	32	14
04	08	11	21	27	30	01
05	12	15	17	18	27	04
01	09	15	17	22	23	16
01	04	05	15	17	31	09
03	17	18	19	20	27	16
08	09	10	13	24	29	02
01	02	04	25	26	30	10
05	07	15	19	29	33	15
06	10	14	15	26	29	12
05	14	15	16	18	32	12
04	07	15	18	29	33	01
04	06	09	27	28	33	02
06	07	13	19	26	29	08
07	12	15	24	26	29	06
01	05	13	21	26	29	15
06	11	14	20	27	30	09
09	14	18	23	28	31	02
04	06	12	13	17	31	16
06	08	09	17	22	31	11
16	18	20	21	23	33	05
01	03	16	18	29	33	06
16	18	19	24	28	32	01
06	09	18	19	29	33	06
06	13	14	23	31	33	01
12	15	20	26	30	33	16
01	06	11	14	17	26	15
02	04	09	26	28	33	03
08	12	21	27	28	33	11
10	14	18	23	27	33	15
07	24	27	29	31	32	15
02	05	11	17	21	33	01
03	05	08	14	27	33	08
02	04	07	18	25	26	10
05	07	17	20	26	31	14
03	07	08	14	27	30	09
02	11	24	25	27	30	14
03	12	17	18	19	28	04
01	07	08	21	23	29	06
02	17	20	23	25	27	08
05	10	11	21	22	30	13
05	07	21	22	24	29	14
03	12	14	16	31	33	12
02	06	07	10	15	20	05
09	12	13	16	24	32	04
01	10	13	20	22	32	14
02	03	14	16	26	31	02
08	12	13	19	23	25	15
14	17	26	31	32	33	10
05	12	19	22	25	26	05
04	10	11	14	23	32	07
01	10	11	22	26	32	07
12	23	24	26	27	30	05
03	08	10	13	26	32	08
05	11	20	22	23	29	09
14	15	18	19	26	32	09
03	04	10	15	22	24	02
06	19	24	25	28	32	04
07	09	10	14	19	24	15
07	12	17	19	24	25	02
01	07	11	15	17	19	06
03	07	22	24	26	31	14
09	11	14	22	30	32	01
05	06	14	20	21	25	08
07	11	16	17	30	32	16
06	09	24	29	30	32	07
05	10	19	20	29	31	14
06	14	16	27	28	31	07
06	07	13	14	15	27	04
02	03	04	07	10	18	15
04	07	08	29	30	31	01
06	15	23	24	25	33	15
12	18	19	20	21	32	15
04	15	17	19	25	28	16
02	03	07	09	20	21	13
01	20	22	23	25	28	16
03	06	09	15	22	31	02
07	10	12	16	19	31	16
05	19	24	28	30	32	14
02	05	16	17	18	30	06
02	12	21	23	25	31	08
06	13	15	17	20	21	03
09	14	20	21	24	26	04
05	10	15	18	19	32	05
10	12	15	17	19	20	08
05	10	11	13	27	28	09
07	09	21	22	26	32	03
04	07	10	14	16	26	09
02	05	13	15	23	26	07
01	09	11	13	20	29	09
04	07	17	19	20	24	16
01	14	19	23	26	30	10
05	10	16	26	27	33	01
12	14	19	23	24	27	01
11	14	15	16	27	32	09
03	07	10	14	21	24	01
02	06	09	15	19	28	16
03	10	17	19	21	31	04
01	02	16	19	25	31	08
01	03	12	19	27	31	10
01	04	06	14	20	28	08
08	11	18	19	20	24	01
08	09	15	24	26	30	06
04	15	21	27	28	29	10
05	17	20	21	23	33	04
07	15	16	20	27	29	07
19	20	23	27	28	31	01
14	19	20	23	24	31	09
01	03	18	22	29	32	02
06	14	15	19	29	31	05
04	05	12	15	18	28	07
04	05	12	16	22	30	15
01	07	08	12	13	18	05
03	09	10	11	28	29	13
02	06	14	18	20	31	13
03	05	17	21	27	33	04
06	14	17	18	31	33	06
02	10	12	15	24	27	08
04	06	08	14	24	27	02
04	07	10	22	27	30	02
05	06	21	25	28	33	07
17	20	22	23	26	28	06
10	13	15	24	31	32	02
02	03	10	17	20	26	16
11	15	18	24	26	32	09
02	03	17	19	25	30	01
01	04	07	14	30	31	03
10	14	15	22	27	32	09
01	07	17	20	22	28	15
10	13	15	25	29	30	15
05	09	15	24	27	30	09
02	04	12	22	29	31	01
07	09	12	13	14	29	16
09	11	17	18	20	27	15
01	10	13	18	26	32	05
03	11	12	13	25	28	12
01	07	11	14	15	26	11
08	12	17	24	27	28	13
09	11	24	25	28	33	15
05	11	15	23	28	33	03
02	07	08	10	12	31	03
04	06	16	24	26	33	16
05	06	12	14	27	28	08
01	02	07	13	23	24	12
04	12	15	16	19	26	06
02	13	16	19	23	24	04
06	08	10	14	28	29	01
05	06	07	11	14	20	02
05	07	09	11	21	28	01
04	09	11	25	28	33	04
03	06	11	13	26	32	05
01	03	05	18	22	23	01
05	08	22	23	24	29	09
01	03	10	24	28	29	13
04	06	15	26	27	31	12
08	15	17	25	27	30	10
03	09	21	23	30	32	06
12	15	16	21	22	29	01
04	05	09	14	25	27	07
01	06	18	22	24	25	08
01	09	15	16	19	21	15
01	07	24	31	32	33	08
01	05	11	15	16	29	15
06	11	18	20	23	26	05
04	14	18	24	31	32	15
01	11	19	23	25	29	09
02	06	19	26	30	33	15
01	04	08	19	29	33	16
04	06	08	15	16	18	16
04	05	06	09	23	24	09
12	13	15	20	22	25	10
04	09	12	18	20	23	01
10	11	17	20	29	30	15
01	09	11	18	32	33	14
09	11	13	18	19	28	14
05	06	09	17	25	33	16
08	21	22	23	29	32	01
03	11	12	16	22	28	10
07	13	21	22	24	31	02
07	10	14	16	24	33	16
03	04	06	19	21	30	14
08	09	10	19	27	29	15
02	09	10	16	25	28	08
04	11	13	22	25	32	01
04	15	17	22	29	32	03
03	07	13	16	24	29	01
05	09	13	21	28	33	06
01	04	14	15	17	32	02
05	07	14	17	26	28	13
02	03	17	18	23	24	01
05	09	10	22	25	27	08
02	09	18	23	26	32	14
02	06	07	24	28	29	16
02	08	21	24	29	31	13
05	07	09	16	18	27	06
13	17	19	24	26	30	12
01	02	06	11	21	26	11
12	14	18	20	26	28	11
04	10	12	18	23	25	01
02	12	13	14	31	33	06
01	05	08	15	16	30	03
06	11	21	25	28	31	07
08	09	13	27	29	31	05
08	10	15	17	22	30	12
11	16	23	26	27	33	05
05	07	09	16	20	26	08
03	05	13	19	20	25	03
06	08	14	17	18	30	11
01	04	06	10	11	18	02
02	21	22	23	27	28	11
10	15	17	25	31	32	06
04	08	17	24	28	33	13
01	03	06	07	09	11	02
