operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,S23Q3081Z2S7,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021520960,20579ED36163,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-08-30 14:31:26.173675,47.304,32.648,10.668,success,noInfo,0.0,2.631,3.187,0.836
noInfo,S23Q3081Z2S5,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021520967,20579ED3496B,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-08-30 15:01:53.784208,51.971,33.023,10.675,success,noInfo,0.0,2.671,3.126,0.831
noInfo,S23Q3081Z2R7,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021520969,20579ED34954,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-08-30 15:06:14.880976,51.89,32.68,10.682,success,noInfo,0.0,2.63,3.095,0.833
noInfo,S23Q3081Z3Z1,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021520971,20579ED362A0,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-08-30 15:11:47.787029,52.327,32.415,10.717,success,noInfo,0.0,2.751,3.064,0.842
noInfo,S23Q3081Z2H6,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_S23Q3081Z2H6,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-08-30 15:18:24.569889,62.665,32.415,10.673,failed,noInfo,,2.751,3.064,0.836
noInfo,S23Q3081Z2H6,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021520976,20579ED3628D,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-08-30 15:20:34.860728,52.594,32.643,2.892,success,noInfo,0.0,3.725,3.171,0.837
noInfo,S23Q3081Z2U2,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021520978,20579ED34875,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-08-30 15:30:49.640237,53.371,30.798,10.685,success,noInfo,0.0,2.729,3.179,0.843
noInfo,S23Q3081Z2U5,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021520981,20579ED35F8A,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-08-30 15:34:37.663968,52.481,32.832,10.702,success,noInfo,0.0,2.659,3.166,0.841
noInfo,S23Q3081Z3Z2,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021520985,20579ED3615A,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-08-30 15:47:34.999194,51.188,32.946,10.693,success,noInfo,0,4.695,3.081,0.827
