operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,H28R3081A1Q5,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609529,F0:B0:40:74:D3:8F,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 07:57:06.657340,2022-03-29 07:55:38.382062,43.977,27.805,3.176,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,5.26,6.31,0.928
noInfo,H28R3081A1Q1,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609533,F0:B0:40:74:ED:AF,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:02:20.904793,2022-03-29 08:00:54.793610,43.837,27.849,7.61,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.336,5.1,0.95
noInfo,H28R3081A1K9,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609538,F0:B0:40:74:BD:E1,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:04:15.038801,2022-03-29 08:02:47.618745,45.132,27.89,7.502,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.423,5.064,0.907
noInfo,H28R3081A1K1,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609542,F0:B0:40:74:BE:19,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:06:16.759725,2022-03-29 08:04:48.965912,44.902,28.073,7.619,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.593,5.289,0.881
noInfo,H28R3081A1J8,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609547,F0:B0:40:74:BE:8B,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:08:04.320964,2022-03-29 08:06:36.700797,44.41,27.874,7.585,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.588,5.92,0.894
noInfo,H28R3081A1J2,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609550,F0:B0:40:74:CA:92,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:09:50.872647,2022-03-29 08:08:22.600608,43.52,28.155,7.498,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,6.435,5.135,0.962
noInfo,H28R3081A1J0,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609554,F0:B0:40:74:D1:70,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:12:12.979421,2022-03-29 08:10:45.154461,43.947,29.256,7.553,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.235,5.441,0.929
noInfo,H28R3081A1H6,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609560,F0:B0:40:74:ED:BC,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:13:57.894373,2022-03-29 08:12:32.091560,42.995,28.431,7.609,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.418,5.011,1.046
noInfo,H28R3081A1F5,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609564,F0:B0:40:74:BD:B8,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:15:54.952586,2022-03-29 08:14:29.472458,43.722,27.749,7.39,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.901,5.19,0.939
noInfo,H28R3081A1K4,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609568,F0:B0:40:74:D1:15,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:17:50.779850,2022-03-29 08:16:25.218029,42.97,28.475,7.464,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.018,5.16,1.089
noInfo,H28R3081A1A8,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609574,F0:B0:40:74:D3:C3,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:20:31.489901,2022-03-29 08:19:05.955707,43.386,28.016,7.404,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.303,4.946,0.889
noInfo,H28R3081A1A3,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609581,F0:B0:40:74:C9:82,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:25:14.931465,2022-03-29 08:23:48.267943,43.409,27.991,7.468,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,5.085,5.143,0.935
noInfo,H28R3081A1A0,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609583,F0:B0:40:74:D2:D2,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:27:32.046515,2022-03-29 08:26:04.729972,45.025,28.198,7.506,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.953,5.222,0.887
noInfo,H28R3081A1Z4,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609588,F0:B0:40:74:D1:CD,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:29:35.675828,2022-03-29 08:28:08.855539,43.858,28.172,7.447,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.47,5.174,0.908
noInfo,H28R3081A0U9,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609593,F0:B0:40:74:CA:BF,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:31:25.648671,2022-03-29 08:29:58.215179,43.369,27.79,7.518,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.969,5.156,0.97
noInfo,H28R3081A0U4,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609597,F0:B0:40:74:BD:FB,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:33:10.102025,2022-03-29 08:31:44.205395,43.716,27.891,7.671,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.036,5.228,0.928
noInfo,H28R3081A0U0,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609602,F0:B0:40:74:BD:99,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:35:52.450910,2022-03-29 08:34:26.858394,43.144,28.315,7.49,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.111,5.009,0.921
noInfo,H28R3081A0S5,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609605,F0:B0:40:74:D1:B2,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:37:42.353850,2022-03-29 08:36:13.546033,46.321,28.132,7.527,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.894,5.228,0.957
noInfo,H28R3081A0U6,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609609,F0:B0:40:74:D1:A8,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:39:44.558738,2022-03-29 08:38:18.592748,43.597,27.981,7.44,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.734,5.347,1.004
noInfo,H28R3081A0S1,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609614,F0:B0:40:74:BE:60,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:41:39.850570,2022-03-29 08:40:14.542344,42.669,28.205,7.446,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.026,5.446,0.967
noInfo,H28R3081A0R7,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609617,F0:B0:40:74:D3:B7,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:43:45.861925,2022-03-29 08:42:17.955499,44.557,27.916,7.501,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.943,5.754,0.912
noInfo,H28R3081A0R3,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609621,F0:B0:40:74:C9:9E,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:45:26.865051,2022-03-29 08:43:59.520475,43.465,27.705,7.481,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.378,5.36,0.899
noInfo,H28R3081A0R2,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609626,F0:B0:40:74:CA:E2,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:47:22.661122,2022-03-29 08:45:56.897457,43.741,27.823,7.497,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.002,5.13,2.199
noInfo,H28R3081A0Q7,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609630,F0:B0:40:74:CA:B3,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:50:14.404829,2022-03-29 08:48:46.326659,43.375,29.173,7.546,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,5.27,5.393,0.982
noInfo,H28R3081A0Q1,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609632,F0:B0:40:74:C9:9B,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:52:14.328832,2022-03-29 08:50:46.628691,45.299,28.099,7.545,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.095,5.201,0.926
noInfo,H28R3081A0Q4,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609636,F0:B0:40:74:D0:F8,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:54:09.743806,2022-03-29 08:52:42.318493,44.508,27.899,7.489,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.969,5.038,0.936
noInfo,H28R3081A0K3,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609640,F0:B0:40:74:EF:62,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:57:09.895875,2022-03-29 08:55:39.432724,46.62,28.04,7.539,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,5.749,5.203,0.97
noInfo,H28R3081A0K6,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609645,F0:B0:40:74:CA:30,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 08:59:01.193662,2022-03-29 08:57:32.626505,45.338,27.814,7.501,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.052,5.21,0.881
noInfo,H28R3081A0J5,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609649,F0:B0:40:74:CA:B0,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 09:01:02.305031,2022-03-29 08:59:34.578464,43.635,27.524,7.594,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,4.678,5.449,0.956
noInfo,H28R3081A0J8,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609653,F0:B0:40:74:D3:55,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 09:04:18.821796,2022-03-29 09:02:52.893538,43.527,28.366,7.353,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.994,5.199,0.953
noInfo,H28R3081A0H8,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609657,B8:4D:43:FC:AF:F1,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 09:06:13.692464,2022-03-29 09:04:46.647812,44.932,28.28,7.515,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.854,5.059,0.892
noInfo,H28R3081A0H3,UR250BE0US,10B061100XXA0002AXX0100PP60XXXXX,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,AC000W026609663,F0:B0:40:74:C9:93,8c:ec:4b:86:90:2e,KAY-DT-25,2022-03-29 09:09:47.342774,2022-03-29 09:08:21.276129,44.269,27.74,7.603,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.N3308.21.2_MSK11[34A]4[ABC]14_21.07_Feb202022.zip,3.853,5.332,0.912
