operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,X29Q3081Z7Q2,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021987800,20579ED0AA90,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-08 10:30:01.100468,38.368,17.44,13.527,success,noInfo,2.0,2.601,4.651,0.794
noInfo,X29Q3081Z7U2,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021987850,20579ED0B324,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-08 18:58:52.022757,44.841,17.319,13.895,success,noInfo,2.0,2.642,4.752,0.803
noInfo,X29Q3081Z7Q1,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021987854,B84D433204E2,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-08 19:00:43.832639,44.998,17.338,13.563,success,noInfo,2.0,2.578,4.613,0.776
noInfo,X29Q3081A0A9,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,None_X29Q3081A0A9,,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-08 19:02:25.161059,105.514,17.338,13.868,failed,noInfo,,2.578,4.613,0.784
noInfo,X29Q3081Z7K8,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021987860,B84D43321C35,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-08 19:04:31.103191,43.852,17.676,13.562,success,noInfo,2.0,2.567,4.504,0.807
noInfo,X29Q3081Z7K0,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021987863,B84D43321625,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-08 19:06:00.266965,44.9,17.018,13.533,failed,noInfo,2.0,2.608,4.29,0.799
noInfo,X29Q3081Z7K0,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021987866,B84D43321625,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-08 19:07:42.101712,45.058,17.213,3.548,success,noInfo,2.0,2.661,4.661,0.781
noInfo,X29Q3081A1R1,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021987873,B84D43321FEA,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-08 19:11:22.146584,45.18,17.288,13.561,success,noInfo,2.0,2.574,4.462,0.789
noInfo,X29Q3081Z8J0,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021987876,20579ED0B32C,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-08 19:13:03.829752,39.686,17.403,13.847,success,noInfo,2.0,2.618,4.483,0.785
noInfo,X29Q3081Z7J2,UR1310A3CA,11D012000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.13.0_sprint13_FV0.0.13_SU2.2.037_M0.0.42_GM1.0.42_02.04_Oct132021.zip,AC000W021987883,B84D43321847,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-12-08 19:17:42.267708,44.48,17.292,13.553,success,noInfo,2.0,2.613,4.271,0.805
