operator,robotSN,packageName,dsn,stationMac,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,F01Q3081A1Q0,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589040,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 21:54:03,36.037,11.44,11.179,success,noInfo,1.725,0.403
noInfo,F01Q3081A0F3,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589041,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 21:57:25,34.912,11.18,11.381,success,noInfo,1.622,0.394
noInfo,F01Q3081A0A7,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589042,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 21:58:32,35.093,11.613,11.277,success,noInfo,1.709,0.412
noInfo,F01Q3081A2H9,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589043,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 22:01:00,34.138,11.269,11.303,success,noInfo,1.63,0.401
noInfo,F01Q3081A2H5,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589044,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 22:04:11,35.325,11.408,11.249,success,noInfo,1.6,0.399
noInfo,F01Q3081A0A8,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589045,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 22:05:30,32.907,11.479,11.306,success,noInfo,1.556,0.407
noInfo,F01Q3081A0A9,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589046,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 22:06:41,35.119,11.153,11.178,success,noInfo,1.676,0.4
noInfo,F01Q3081A0F2,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589047,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 22:07:51,34.993,11.39,11.218,success,noInfo,1.63,0.397
noInfo,F01Q3081A2H8,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589048,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 22:08:58,33.857,11.435,11.441,success,noInfo,1.657,0.406
noInfo,F01Q3081A3A4,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589049,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 22:10:09,34.881,11.418,11.497,success,noInfo,1.661,0.396
noInfo,F01Q3081A3A7,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589050,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 22:11:21,33.88,11.414,11.208,success,noInfo,1.614,0.399
noInfo,F01Q3081A3A6,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589051,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 22:12:52,33.951,11.476,11.064,success,noInfo,1.606,0.401
noInfo,F01Q3081A3A8,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589052,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 22:14:05,37.9,11.402,11.358,success,noInfo,1.644,0.41
noInfo,F01Q3081A3F0,Mesa2.0P3.7.0_sprint7_VAVE_FV1.3.8_ST1.1.72_M0.0.7EB_RC3_spi_init_ST_GM1.0.7EB_RC3_spi_init_GD_RP3.7.0_sprint7_VAVE_16.28_Feb052021.zip,AC000W016589053,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-03-01 22:15:13,35.998,11.19,11.09,success,noInfo,1.627,0.405
