operator,deviceSN,deviceSKU,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:22:07.768454,15.721,,3.708,failed,noInfo,0.798
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,2CD26B5DDA61,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:22:28.745294,37.923,21.608,3.72,success,noInfo,0.783
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:24:52.474418,15.745,21.608,3.712,failed,noInfo,0.787
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:25:23.744343,15.753,21.608,3.71,failed,noInfo,0.799
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:26:00.976334,15.761,21.608,3.713,failed,noInfo,0.803
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:32:28.583953,15.714,21.608,3.723,failed,noInfo,0.783
noInfo,H11Q3081Z4B7,RV2520AOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_H11Q3081Z4B7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 10:32:49.463930,15.758,21.608,3.708,failed,noInfo,0.779
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 11:03:45.176264,38.575,23.025,3.689,success,noInfo,0.798
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 11:11:25.902482,42.968,22.281,3.709,success,noInfo,0.78
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-05-23 11:19:08.970348,44.776,21.748,3.704,success,noInfo,0.795
