operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PmMusicTime,PmMcuBootCostTime
noInfo,A10R3011Z0Z1,RV1401ZWUS,11D011000XX200122XX4001PP70XXXXX,MesaValleyHarmonizedP4.E1126.15.0_sprint15_rc5_11[2]4[12345]14_05.26_Jan102022.zip,None_A10R3011Z0Z1,B8:4D:43:BB:E9:CE,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-02-23 12:23:44.305491,2022-02-23 12:22:34.616139,44.867,14.68,14.351,success,noInfo,2,,music-vmusic-V2.9,MesaValleyHarmonizedP4.E1126.15.0_sprint15_rc5_11[2]4[12345]14_05.26_Jan102022.zip,5.644,0.818
noInfo,A10R3011Z0Z1,RV1401ZWUS,11D011000XX200122XX4001PP70XXXXX,MesaValleyHarmonizedP4.E1126.15.0_sprint15_rc5_11[2]4[12345]14_05.26_Jan102022.zip,None_A10R3011Z0Z1,B8:4D:43:BB:E9:CE,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-02-23 12:26:06.980505,2022-02-23 12:25:03.218236,38.797,14.693,3.699,success,noInfo,2,,music-vmusic-V2.9,MesaValleyHarmonizedP4.E1126.15.0_sprint15_rc5_11[2]4[12345]14_05.26_Jan102022.zip,5.825,0.795
noInfo,A10R3011Z0Z1,RV1401ZWUS,11D011000XX200122XX4001PP70XXXXX,MesaValleyHarmonizedP4.E1126.15.0_sprint15_rc5_11[2]4[12345]14_05.26_Jan102022.zip,None_A10R3011Z0Z1,B8:4D:43:BB:E9:CE,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-02-23 13:30:29.891818,2022-02-23 13:29:26.445292,38.795,14.447,3.661,success,noInfo,2,,music-vmusic-V2.9,MesaValleyHarmonizedP4.E1126.15.0_sprint15_rc5_11[2]4[12345]14_05.26_Jan102022.zip,5.658,0.825
noInfo,A10R3011Z0Z1,RV1401ZWUS,11D011000XX200122XX4001PP70XXXXX,MesaValleyHarmonizedP4.E1126.15.0_sprint15_rc5_11[2]4[12345]14_05.26_Jan102022.zip,None_A10R3011Z0Z1,B8:4D:43:BB:E9:CE,a4:bb:6d:cf:1a:2b,KAY-DT-44,2022-02-23 13:31:40.465618,2022-02-23 13:30:37.616000,38.713,14.367,3.659,success,noInfo,2,,music-vmusic-V2.9,MesaValleyHarmonizedP4.E1126.15.0_sprint15_rc5_11[2]4[12345]14_05.26_Jan102022.zip,5.384,0.807
