operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PmMcuBootCostTime,PMDsnCostTime,PmMusicTime
noInfo,F11R3081A8H0,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_F11R3081A8H0,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 19:47:56.303278,2022-02-18 19:46:39.185944,72.655,17.018,2.432,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.872,4.245,4.367
noInfo,F11R3081A8H0,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186040,B8:4D:43:FC:D3:D8,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 19:52:02.922308,2022-02-18 19:48:36.464893,54.369,17.993,2.432,failed,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,202.355,4.282,4.404
noInfo,F11R3081A8H0,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186055,B8:4D:43:FC:D3:D8,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 19:59:00.042624,2022-02-18 19:57:42.868663,44.494,18.342,2.447,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.994,4.188,4.647
noInfo,F11R3081A7U8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186061,F0:B0:40:74:A1:48,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:02:43.496033,2022-02-18 20:01:18.350455,52.238,17.659,8.253,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.379,5.382,4.504
noInfo,F11R3081A8H3,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186063,B8:4D:43:FC:D4:52,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:04:37.552437,2022-02-18 20:03:11.159067,53.636,17.485,8.4,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.438,4.091,5.777
noInfo,F11R3081A7S9,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186070,F0:B0:40:74:A0:B6,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:07:18.252647,2022-02-18 20:05:52.643268,54.258,17.072,8.276,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.363,4.372,4.393
noInfo,F11R3081A8H1,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186076,B8:4D:43:FC:CF:83,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:10:18.461988,2022-02-18 20:08:53.559138,52.932,17.709,8.351,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.379,4.047,4.345
noInfo,F11R3081A7S2,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186080,F0:B0:40:74:A4:D5,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:12:07.209145,2022-02-18 20:10:42.140127,52.835,18.01,8.282,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.4,4.275,4.309
noInfo,F11R3081A7R3,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186086,B8:4D:43:FC:D3:EC,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:14:06.706499,2022-02-18 20:12:41.367478,53.364,17.755,8.303,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.437,4.233,4.314
noInfo,F11R3081A7R4,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186090,F0:B0:40:74:95:1B,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:16:00.787489,2022-02-18 20:14:30.648615,54.654,18.827,8.283,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.367,4.773,4.405
noInfo,F11R3081A7R1,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186096,B8:4D:43:FC:96:99,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:18:09.799499,2022-02-18 20:16:44.588289,52.766,18.074,8.302,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.39,4.533,4.405
noInfo,F11R3081A7Q6,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186102,F0:B0:40:74:94:DE,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:20:28.814678,2022-02-18 20:19:05.058771,52.321,17.359,8.281,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.386,4.383,4.303
noInfo,F11R3081A8F2,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186106,B8:4D:43:FC:AF:6B,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:22:31.928473,2022-02-18 20:21:07.247443,53.149,17.677,8.305,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.498,4.173,4.355
noInfo,F11R3081A8F1,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186111,B8:4D:43:FC:AF:63,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:24:12.448295,2022-02-18 20:22:47.254008,54.143,16.826,8.285,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.429,4.197,4.466
noInfo,F11R3081A7K4,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186115,B8:4D:43:FC:AB:67,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:25:47.192625,2022-02-18 20:24:26.102795,48.132,18.615,8.339,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.396,4.282,4.39
noInfo,F11R3081A7K5,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186120,F0:B0:40:74:A4:5B,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:27:47.143067,2022-02-18 20:26:17.358810,55.276,20.108,8.349,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.351,4.51,4.395
noInfo,F11R3081A7U7,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186125,F0:B0:40:74:A1:39,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:29:43.380935,2022-02-18 20:28:17.713538,53.114,17.673,8.299,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.381,5.126,4.305
noInfo,F11R3081A7U0,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186130,B8:4D:43:FC:96:30,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:31:43.562405,2022-02-18 20:30:16.004693,54.776,17.777,8.291,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.415,5.097,4.449
noInfo,F11R3081A7J5,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_F11R3081A7J5,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:33:17.378582,2022-02-18 20:32:02.837025,69.978,17.777,8.274,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.399,5.097,4.449
noInfo,F11R3081A7J5,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_F11R3081A7J5,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:34:47.448974,2022-02-18 20:33:30.341695,71.061,17.777,2.442,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.933,5.097,4.449
noInfo,F11R3081A7J5,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_F11R3081A7J5,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:42:06.690313,2022-02-18 20:40:50.925108,71.43,17.777,2.439,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.961,5.097,4.449
noInfo,F11R3081A7J5,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186148,F0:B0:40:74:A3:83,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:43:50.788657,2022-02-18 20:42:32.299640,45.969,17.909,2.462,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.927,4.533,4.457
noInfo,F11R3081A7F7,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186153,F0:B0:40:74:A0:DA,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:45:47.623738,2022-02-18 20:44:21.029131,54.536,17.776,9.193,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.446,4.481,4.407
noInfo,F11R3081A7A4,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022186159,B8:4D:43:FC:CF:F0,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:48:11.322308,2022-02-18 20:46:45.240387,54.006,17.584,8.279,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.502,4.2,4.589
noInfo,F11R3081A7A0,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_F11R3081A7A0,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-18 20:50:43.696251,2022-02-18 20:49:18.763209,80.35,17.584,8.287,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.405,4.2,4.589
