operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,U17Q3081Z2H6,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960822,20579ED35BAB,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 15:37:51.620858,51.799,33.015,10.613,success,noInfo,0.0,4.673,3.077,0.83
noInfo,U17Q303TZ1K3,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960825,20579ED369EE,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 16:39:49.064198,48.197,32.895,10.622,success,noInfo,0.0,4.83,3.123,0.804
noInfo,U17Q303TZ1K6,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960828,20579ED369B6,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 16:43:36.479627,48.953,32.869,10.634,success,noInfo,0.0,4.598,3.121,0.802
noInfo,U17Q303TZ1K2,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960830,20579ED369E7,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 16:45:41.731854,52.978,32.573,2.83,success,noInfo,0.0,4.665,3.141,0.803
noInfo,U17Q303TZ1K7,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960833,20579ED36A23,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 16:47:52.761865,52.035,32.816,10.631,success,noInfo,0.0,4.736,3.106,0.81
noInfo,U17Q303TZ1K8,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960834,20579ED36A02,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 16:51:38.602883,54.293,33.188,10.605,success,noInfo,0.0,4.733,3.194,0.832
noInfo,U17Q303TZ1Q1,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960837,20579ED36A76,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 16:53:40.134216,54.806,32.835,10.634,success,noInfo,0.0,4.731,3.16,0.803
noInfo,U17Q303TZ1Q0,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960838,20579ED36965,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 16:56:42.992097,54.078,33.074,10.618,success,noInfo,0.0,4.704,3.131,0.805
noInfo,U17Q303TZ1Q4,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,None_U17Q303TZ1Q4,,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 16:58:49.708094,62.655,33.074,10.634,failed,noInfo,,4.704,3.131,0.811
noInfo,U17Q303TZ1Q4,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960842,20579ED36A3A,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 17:00:43.150904,52.247,32.946,2.824,success,noInfo,0.0,4.688,3.094,0.825
noInfo,U17Q303TZ1Q8,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960844,20579ED36A27,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 17:03:56.016536,45.468,32.834,10.636,success,noInfo,0.0,4.686,3.13,0.801
noInfo,U17Q303TZ1Q9,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960847,20579ED36909,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 17:07:47.884588,52.728,32.933,10.639,success,noInfo,0.0,7.656,3.074,0.814
noInfo,U17Q303TZ1R4,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960850,20579ED36964,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 17:10:45.990909,52.628,33.022,10.654,success,noInfo,0.0,4.643,3.101,0.805
noInfo,U17Q303TZ1R5,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960852,20579ED36A00,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 17:13:05.977279,46.854,32.426,10.645,success,noInfo,0.0,4.709,3.05,0.809
noInfo,U17Q303TZ1R7,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960854,20579ED36A1E,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 17:15:13.277130,46.589,33.274,10.625,success,noInfo,0.0,4.661,3.156,0.816
noInfo,U17Q303TZ1S0,RV2520A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.3326.15.8_sprint15.8_FV1.4.3_ST2.2.017_M0.0.95_GM1.0.95_04.13_Aug062021.zip,AC000W021960858,20579ED36A2E,8c:ec:4b:87:e0:d8,KAY-DT-06,2021-09-17 17:18:46.275452,51.777,32.354,10.653,success,noInfo,0.0,4.708,3.099,0.81
