operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,R13Q3081A1R7,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,None_R13Q3081A1R7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-07-13 22:26:48.578766,15.454,,10.704,failed,noInfo,0.856
noInfo,R13Q3081A1R7,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,None_R13Q3081A1R7,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-07-13 22:27:49.607878,15.48,,3.203,failed,noInfo,0.82
noInfo,R05Q3081Z4U3,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,None_R05Q3081Z4U3,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-07-14 09:48:02.436179,15.49,,3.209,failed,noInfo,0.796
noInfo,R05Q3081Z4U3,RV2520A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.3308.14.6_sprint14.6_FV0.1.1_ST2.2.005_M0.0.82_GM1.0.82_18.50_Jun242021.zip,None_R05Q3081Z4U3,,a4:bb:6d:ce:ca:1c,KAY-DT-43,2021-07-14 09:49:05.837515,15.491,,3.209,failed,noInfo,0.818
