operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,X20Q3081Z6Q1,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984084,B84D4331CB32,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 15:46:54.405763,36.037,17.211,13.625,success,noInfo,2.0,2.593,4.982,0.806
noInfo,X20Q3081Z6J2,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984086,B84D4331CB02,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 15:52:52.698947,42.013,17.741,13.626,success,noInfo,2.0,2.624,4.814,0.793
noInfo,X20Q3081Z6J9,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984089,B84D4331CB45,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 15:55:20.521821,42.231,17.322,13.652,success,noInfo,2.0,2.554,4.491,0.797
noInfo,X20Q3081Z6Q7,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984093,B84D4331DB5C,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 15:57:36.631313,42.307,17.582,13.639,success,noInfo,2.0,2.662,4.479,0.79
noInfo,X20Q3081Z6Q9,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984097,B84D43321FD8,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 16:00:08.963107,44.14,17.486,13.594,success,noInfo,2.0,2.615,4.432,0.794
noInfo,X20Q3081Z7U7,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984100,B84D4331E056,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 16:02:11.264540,43.786,17.538,13.637,success,noInfo,2.0,2.526,4.555,0.79
noInfo,X20Q3081Z6Q3,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984105,B84D4331DFE1,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 16:04:23.653339,42.628,17.672,13.634,success,noInfo,2.0,2.6,4.677,0.776
noInfo,X20Q3081Z8Z0,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984109,B84D4331DAD2,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 16:06:33.712089,37.603,17.473,13.642,success,noInfo,2.0,2.486,4.508,0.783
noInfo,X20Q3081Z6S8,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984113,B84D433215A0,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 16:08:29.439134,37.065,17.404,13.636,success,noInfo,2.0,2.669,4.563,0.776
noInfo,X20Q3081Z6S3,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984116,B84D433217F4,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 16:10:32.839614,41.767,17.524,13.61,success,noInfo,2.0,2.578,4.369,0.779
noInfo,X20Q3081Z6K7,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984121,B84D4331FA82,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 16:12:35.986794,42.665,17.637,13.631,success,noInfo,2.0,2.54,4.597,0.789
noInfo,X20Q3081Z7S2,RV9114AXUS,15B011000XX200122XX1000PP60XXXXX,MesaValleyHarmonizedP5.1126.13.0_sprint13_FV0.0.12_SU2.2.037_M0.0.41EB_ST_GM1.0.41EB_GD_01.58_Oct132021.zip,AC000W021984126,B84D4331E0B6,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-11-21 16:14:48.063193,42.613,17.626,13.608,success,noInfo,2.0,2.492,4.576,0.788
