operator,deviceSN,deviceSKU,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:34:41.760388,44.366,22.477,3.647,success,noInfo,0.752
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:41:04.794165,38.369,21.578,3.641,success,noInfo,0.764
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:50:32.416501,15.738,21.578,3.644,failed,noInfo,0.76
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:51:11.400114,15.707,21.578,3.657,failed,noInfo,0.764
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:51:55.935353,43.926,22.302,3.644,success,noInfo,0.752
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,2CD26B5DDA10,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 11:57:00.087737,37.858,21.199,3.603,success,noInfo,0.753
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 13:50:57.990697,15.762,,3.646,failed,noInfo,0.756
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 13:51:56.960658,15.751,,3.666,failed,noInfo,0.779
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 13:52:43.646347,15.773,,3.637,failed,noInfo,0.749
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 13:54:43.670694,15.724,,3.648,failed,noInfo,0.758
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 13:56:55.885998,15.758,,3.666,failed,noInfo,0.76
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 13:59:00.861599,15.767,,3.639,failed,noInfo,0.757
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 14:00:01.702698,15.777,,3.648,failed,noInfo,0.751
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 14:01:20.525736,15.755,,3.643,failed,noInfo,0.763
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 14:03:39.894664,15.751,,3.645,failed,noInfo,0.766
noInfo,J16Q3081Z5T4,RV2520SOUS,Lidar360P3.12.0_sprint12_rc3_scfOn_FV0.0.8_M1.0.60_RP3.12.0_sprint12_rc3_scfOn_multi_ayla_plat_14.59_Apr152021.zip,None_J16Q3081Z5T4,,00:1e:10:1f:00:00,KAY-DT-43,2021-05-24 14:04:23.757667,15.688,,3.646,failed,noInfo,0.763
