operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PmMcuBootCostTime,PMDsnCostTime,PmMusicTime
noInfo,F11R3081H3S4,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_F11R3081H3S4,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 13:40:11.060670,2022-02-17 13:38:53.560414,73.078,17.768,8.335,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.36,4.365,4.587
noInfo,F11R3081H3S4,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184322,B8:4D:43:FC:C5:59,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 13:43:09.382694,2022-02-17 13:41:43.916402,53.67,17.834,2.437,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.923,4.109,4.361
noInfo,F11R3081H3R9,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184325,B8:4D:43:FC:AE:C7,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 13:45:17.873705,2022-02-17 13:43:58.923968,46.907,17.792,8.354,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.42,4.274,4.409
noInfo,F11R3081H3R5,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184330,B8:4D:43:FC:D3:10,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 13:46:55.316281,2022-02-17 13:45:34.567475,46.453,18.505,8.297,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.376,4.746,4.458
noInfo,F11R3081H4F1,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_F11R3081H4F1,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 13:49:01.601352,2022-02-17 13:47:46.917607,70.315,18.505,8.29,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.367,4.746,4.458
noInfo,F11R3081H4F1,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184341,B8:4D:43:FC:C7:07,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 13:50:47.627733,2022-02-17 13:49:23.406731,52.706,17.099,2.433,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.928,4.244,4.523
noInfo,F11R3081H3Q8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_F11R3081H3Q8,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 13:52:31.621504,2022-02-17 13:51:06.194019,80.975,17.099,8.324,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.46,4.244,4.523
noInfo,F11R3081H3Q8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_F11R3081H3Q8,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 13:53:55.732668,2022-02-17 13:52:41.372412,69.923,17.099,2.448,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.899,4.244,4.523
noInfo,F11R3081H3Q8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184353,B8:4D:43:FC:C5:DF,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 13:55:55.571238,2022-02-17 13:54:36.823192,45.608,18.676,2.446,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.876,4.53,4.469
noInfo,F11R3081H3K6,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022184357,F0:B0:40:74:9E:99,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-17 13:58:49.483693,2022-02-17 13:57:23.008013,54.545,17.711,8.279,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.389,4.247,4.49
