operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,F16R3081A5Q9,AV2510A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022191163,B8:4D:43:FC:98:2E,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-23 09:47:13.948675,2022-02-23 09:45:46.348980,55.411,17.934,8.33,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,4.176,4.448,1.479
noInfo,F16R3081A5Q8,AV2510A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022191168,F0:B0:40:74:A3:87,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-23 09:49:06.992521,2022-02-23 09:47:40.494266,54.599,17.541,8.266,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,4.454,4.375,1.393
noInfo,F16R3081A5Q4,AV2510A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022191173,B8:4D:43:FC:95:76,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-23 09:50:51.023732,2022-02-23 09:49:26.271593,52.852,17.757,8.303,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,4.324,4.417,1.475
noInfo,F16R3081A5K9,AV2510A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022191176,B8:4D:43:FC:A1:23,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-23 09:52:43.173571,2022-02-23 09:51:12.132345,57.167,16.812,8.298,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,4.538,7.126,1.361
noInfo,F16R3081A5Q0,AV2510A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022191180,B8:4D:43:FC:D3:60,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-23 09:54:45.893776,2022-02-23 09:53:21.670163,50.42,17.725,8.257,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,5.893,4.396,1.475
noInfo,F16R3081A5K6,AV2510A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022191184,B8:4D:43:FC:D3:64,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-23 09:56:32.912065,2022-02-23 09:55:08.369016,52.711,17.586,8.25,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,4.207,4.295,1.483
noInfo,F16R3081A5J5,AV2510A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022191187,B8:4D:43:FC:D3:61,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-23 09:58:44.388378,2022-02-23 09:57:16.939627,53.1,17.75,8.256,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,6.341,4.526,1.41
noInfo,F16R3081A5J6,AV2510A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_F16R3081A5J6,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-23 10:00:54.266816,2022-02-23 09:59:28.526145,81.211,17.75,8.3,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,6.341,4.526,1.379
noInfo,F16R3081A5J6,AV2510A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022191196,B8:4D:43:FC:A8:A7,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-23 10:02:28.547218,2022-02-23 10:01:10.009014,46.305,17.275,2.418,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,4.718,4.466,0.909
noInfo,F16R3081A5H8,AV2510A0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022191201,B8:4D:43:FC:9A:A5,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-23 10:04:45.608278,2022-02-23 10:03:14.414043,56.207,17.768,8.245,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,7.265,4.405,1.437
