operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PmMcuBootCostTime,PMDsnCostTime,PmMusicTime
noInfo,Z14Q3081Z7K0,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979254,B84D43322111,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:23:40.825476,44.574,15.212,13.58,success,noInfo,2.0,0.793,2.558,4.472
noInfo,Z14Q3081Z3F5,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979258,B84D43320520,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:25:50.470330,44.329,14.974,13.564,success,noInfo,2.0,0.791,2.582,4.412
noInfo,Z14Q3081Z3F4,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979261,B84D4332051F,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:27:54.623959,44.21,14.878,13.565,success,noInfo,2.0,0.781,2.539,4.468
noInfo,Z14Q3081Z3A0,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979264,B84D4331E68D,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:29:28.720200,44.32,15.395,13.563,success,noInfo,2.0,0.793,2.51,4.684
noInfo,Z14Q3081Z6J4,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979272,B84D43320402,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:34:08.597138,44.447,14.655,13.543,success,noInfo,2.0,0.789,2.471,4.238
noInfo,Z14Q3081Z7J7,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979276,B84D4331C27D,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:36:20.404650,45.043,15.362,13.546,success,noInfo,2.0,0.791,2.521,4.669
noInfo,Z14Q3081Z7R6,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979280,B84D4332053E,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:38:16.715182,44.648,15.094,13.564,success,noInfo,2.0,0.793,2.552,4.36
noInfo,Z14Q3081Z6K3,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979284,B84D4331DB3A,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:40:12.178265,44.242,15.122,13.565,success,noInfo,2.0,0.799,2.508,4.541
noInfo,Z14Q3081F6S6,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979286,B84D4331FABC,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:41:43.373379,45.183,15.348,13.567,success,noInfo,2.0,0.776,2.535,4.292
noInfo,Z14Q3081Z3U4,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979290,B84D4331E177,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:43:50.123296,44.516,15.354,13.556,success,noInfo,2.0,0.792,2.522,4.231
noInfo,Z14Q3081Z7K9,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979293,B84D433220AE,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:45:16.081869,44.597,15.053,13.569,success,noInfo,2.0,0.782,2.551,4.516
noInfo,Z14Q3081Z6R3,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979297,B84D4331E55F,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:47:12.670349,45.077,15.215,13.532,success,noInfo,2.0,0.796,2.46,4.52
noInfo,Z14Q3081F8U5,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979301,B84D4332208C,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:49:24.706739,45.231,15.216,13.55,success,noInfo,2.0,0.796,2.498,4.63
noInfo,Z14Q3081Z7J6,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979305,B84D4331EA9D,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:51:27.206830,44.763,15.21,13.519,success,noInfo,2.0,0.786,2.399,4.568
noInfo,Z14Q3081Z7F0,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979309,B84D4331D9A6,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:53:21.689851,44.33,14.964,13.522,success,noInfo,2.0,0.811,2.505,4.522
noInfo,Z14Q3081Z7Q0,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979313,20579ED083E5,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:55:41.456730,44.683,14.982,13.528,success,noInfo,2.0,0.775,2.442,4.599
noInfo,Z14Q3081Z5H3,RV1301A3CA,11D011000XX200122XX1001PP60XXXXX,MesaValleyHarmonizedP4.1126.12.8_sprint12.8_FV0.0.13_SU2.2.017_M0.0.40_GM1.0.40_22.43_Sep162021.zip,AC000W021979316,20579ED0B29A,a4:bb:6d:cf:1a:2b,KAY-DT-44,2021-10-29 09:57:34.831482,44.36,15.292,13.54,success,noInfo,2,0.792,2.514,4.578
