operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,U18Q3233Z5F2,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019316453,20579ED01884,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-19 08:08:02.024593,56.12,15.833,15.641,success,noInfo,2.0,4.929,4.965,1.054
noInfo,U19Q3233Z0Z1,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019316456,20579E1BD3B5,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-19 08:10:04.922951,63.419,15.958,22.883,success,noInfo,2.0,3.603,4.842,1.021
noInfo,U19Q3233Z0Z5,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019316459,20579E1BD35F,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-19 08:11:51.791038,61.396,15.893,20.655,success,noInfo,2.0,3.524,4.717,1.156
noInfo,U19Q3233Z0Z8,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019316462,20579E1BD3BD,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-19 08:13:58.157357,60.241,15.812,19.447,success,noInfo,2.0,3.601,4.662,1.179
noInfo,U19Q3233Z0F1,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019316466,20579ED057BC,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-19 08:16:14.364879,62.722,15.825,22.158,success,noInfo,2.0,6.5,4.94,1.04
noInfo,U19Q3233Z0F5,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019316472,20579E1B7875,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-19 08:19:42.884366,58.865,15.967,19.394,success,noInfo,2.0,3.587,4.871,1.107
noInfo,U19Q3233Z0H1,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019316476,20579E39C467,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-19 08:23:33.822098,61.09,15.677,20.451,success,noInfo,2.0,3.466,5.033,1.049
noInfo,U19Q3233Z0H4,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019316480,20579ED034A8,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-19 08:25:32.977223,60.422,15.761,20.837,success,noInfo,2.0,3.557,5.015,1.145
noInfo,U19Q3233Z0J3,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019316484,20579E1BD396,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-19 08:27:41.986839,59.27,16.025,19.632,success,noInfo,2.0,3.561,5.008,1.014
noInfo,U19Q3233Z0J4,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019316487,20579E1BE936,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-19 08:29:28.536471,60.532,16.834,21.104,success,noInfo,2.0,3.545,4.91,1.034
