operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,PMDsnCostTime,PmMusicTime,PmMcuBootCostTime
noInfo,U17Q3233Z0F8,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314878,20579ED016E3,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:49:22.656179,59.228,15.887,19.522,success,noInfo,2.0,3.754,5.899,1.081
noInfo,U17Q3233Z0H2,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314879,20579ED01AB3,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:51:16.137177,61.044,15.58,20.616,success,noInfo,2.0,3.763,4.884,1.151
noInfo,U17Q3233Z0H8,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314882,20579ED060CE,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:53:01.088600,56.101,15.666,16.396,success,noInfo,2.0,3.574,4.82,1.103
noInfo,U17Q3233Z0H5,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314885,20579ED05811,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:54:51.148005,60.754,16.002,20.283,success,noInfo,2.0,3.526,4.993,1.027
noInfo,U17Q3233Z0J9,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314889,20579ED0175E,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:57:00.331505,40.641,15.819,13.882,success,noInfo,2.0,5.882,4.86,1.03
noInfo,U17Q3233Z0K3,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314892,20579ED05A68,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 08:58:43.691616,71.556,15.869,16.903,success,noInfo,2.0,3.544,4.823,1.172
noInfo,U17Q3233Z0K6,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314901,20579ED016E2,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 09:03:39.519772,58.825,15.691,19.2,success,noInfo,2.0,5.513,5.0,1.074
noInfo,U17Q3233Z0K7,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314905,20579ED0475D,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 09:05:21.365798,63.833,15.924,22.144,success,noInfo,2.0,4.928,5.051,1.153
noInfo,U17Q3233Z0Q3,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314908,20579E399253,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 09:07:19.680563,58.341,16.163,18.837,success,noInfo,2.0,5.303,4.939,1.016
noInfo,U17Q3233Z0Q7,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314912,20579ED04870,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 09:08:58.823868,61.081,15.751,20.514,success,noInfo,2.0,3.55,4.764,1.032
noInfo,U17Q3233Z0Q1,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314918,20579ED018DA,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 09:11:00.590629,41.706,15.976,13.788,success,noInfo,2.0,5.894,4.736,1.029
noInfo,U17Q3233Z0R4,RV9124S3CA,15B011000XX200122XX1000PP50XXXXX,MesaValleyHarmonizedP4.1126.12.7_sprint12.7_rc1_FV0.0.12_SU2.2.017_M0.0.40_GM1.0.40_23.36_Aug192021.zip,AC000W019314922,20579E1BD5D8,8c:ec:4b:73:19:ae,KON-DT-023,2021-09-17 09:12:24.618453,59.824,15.541,19.209,success,noInfo,2.0,4.851,4.718,1.029
