operator,deviceSN,deviceSKU,deviceHWD,packageName,dsn,deviceMacAddress,stationMacAddress,stationName,recordTime,PMStartTime,PMFWCostTime,PMNavCostTime,PMMCUCostTime,PMStatus,md5Check,backupState,WifiChanel,AudioPackageVersion,FwVersion,PmMcuBootCostTime,PMDsnCostTime,PmMusicTime
noInfo,R27Q3081A3U2,AV2510A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.N3308.21.1_11[34A]4[ABC]14_22.27_Feb062022.zip,None_R27Q3081A3U2,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-16 11:52:25.505373,2022-02-16 11:50:57.705322,81.362,,2.864,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.N3308.21.1_11[34A]4[ABC]14_22.27_Feb062022.zip,0.952,None,None
noInfo,R27Q3081A3U2,AV2510A0US,10B051100XX3000A1XX0100XX50XXXXX,Lidar360P3.N3308.21.1_11[34A]4[ABC]14_22.27_Feb062022.zip,None_R27Q3081A3U2,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-16 12:24:01.215567,2022-02-16 12:21:43.952669,133.671,,2.896,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.N3308.21.1_11[34A]4[ABC]14_22.27_Feb062022.zip,0.887,None,None
noInfo,A12R3081Z1K0,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022183364,B8:4D:43:FC:B4:11,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-16 13:32:17.217975,2022-02-16 13:30:56.226071,45.315,17.783,2.582,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.32,4.101,4.582
noInfo,A12R3081Z1H7,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,None_A12R3081Z1H7,,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-16 13:40:09.031992,2022-02-16 13:38:43.758830,80.86,17.783,8.265,failed,noInfo,,,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.426,4.101,4.582
noInfo,A12R3081Z1H7,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022183379,B8:4D:43:D1:9C:6D,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-16 13:41:52.616486,2022-02-16 13:40:29.456663,51.962,16.725,2.425,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,0.969,4.232,4.499
noInfo,A12R3081Z1F8,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022183383,B8:4D:43:FC:95:14,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-16 13:44:00.828033,2022-02-16 13:42:35.027786,53.7,17.811,8.305,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.693,4.425,4.358
noInfo,A12R3081Z1H4,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022183389,B8:4D:43:D1:99:A5,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-16 13:46:07.183592,2022-02-16 13:44:41.815763,53.172,17.933,8.289,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.416,4.388,4.506
noInfo,A12R3081Z1A4,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022183396,B8:4D:43:FC:B3:E7,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-16 13:49:59.889557,2022-02-16 13:48:33.132726,54.666,17.749,8.29,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.42,4.399,4.438
noInfo,A12R3081Z1Z9,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022183402,B8:4D:43:FC:D5:13,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-16 13:52:09.153285,2022-02-16 13:50:44.112209,53.001,17.909,8.293,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.419,4.33,4.427
noInfo,A12R3081Z1F3,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022183411,B8:4D:43:FC:CB:13,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-16 13:57:07.983518,2022-02-16 13:55:41.643668,53.717,17.884,8.275,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.46,4.791,4.491
noInfo,A12R3081Z1Z0,AV2510S0US,10B011100XX1000A1XX0100PP60XXXXX,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,AC000W022183424,B8:4D:43:FC:CD:F1,8c:ec:4b:86:90:2e,KAY-DT-25,2022-02-16 14:03:53.262833,2022-02-16 14:02:27.225365,54.357,17.644,8.303,success,noInfo,2.0,0x00,music-vmusic-V2.9,Lidar360P3.E3326.21.1_11[1]4[12345]14_22.45_Feb062022.zip,1.396,4.049,4.501
